"RMSE (en %)";"RMSE OOS (en %)";"Residuals Statio PValue";"Predictor_1";"Predictor_2";"Coeff_1";"Coeff_2";"Transfo_1";"Transfo_2";"Priority_1";"Priority_2";"2-1";"Is signif";"Breusch-Pagan";"Durbin Watson";"Jarque Bera";"R2"
7,4;4,8;0;"RDB_Nominal.lag_12";"Spread6M3M.t";644,39;14751,75;"Level";"Level";1;1;-0,61;1;0,31;0;36;0,83
7,4;4,6;0;"SP_SP500.lag_1";"Spread6M3M.lag_1";15,66;34495,33;"Level";"Level";1;1;-0,68;1;0,25;0;7;0,8
7,4;4,8;0;"RDB_Nominal.lag_12";"Spread6M3M.lag_1";645,83;15171,21;"Level";"Level";1;1;-0,62;1;0,56;0;29;0,83
7,4;4,8;0;"SP_SP500.lag_1";"STOXX_EUROSTOXX50.lag_3";15,36;-2,82;"Level";"Level";1;1;0,61;1;0,64;0;16;0,8
7,4;4,9;0;"RDB_Nominal.lag_12";"STOXX_EUROSTOXX50.lag_3";626,97;-0,61;"Level";"Level";1;1;0,52;0;0,23;0;48;0,83
7,4;5,1;0;"SP_SP500.t";"EURONEXT_CAC40.lag_3";14,29;-0,29;"Level";"Level";1;1;0,82;0;0,76;0;5;0,8
7,4;4,9;0;"RDB_Nominal.lag_12";"EURONEXT_CAC40.lag_3";634,61;-0,38;"Level";"Level";1;1;0,81;0;0,31;0;49;0,83
7,4;5,1;0;"SP_SP500.t";"EUROSTAT_GDPEuroArea.Diff.t";14,12;-0,02;"Level";"Difference";1;1;0,47;0;0,38;0;4;0,8
7,4;5,6;0;"SP_SP500.t";"EUROSTAT_GDPEuroArea.Diff.lag_1";14,16;-0,03;"Level";"Difference";1;1;0,49;0;0,61;0;4;0,8
7,4;4,9;0;"RDB_Nominal.lag_12";"STOXX_EUROSTOXX50.Diff.t";614,07;-0,35;"Level";"Difference";1;1;-0,1;1;0,67;0;48;0,83
7,4;4,8;0;"RDB_Nominal.lag_12";"EURONEXT_CAC40.Diff.t";615,72;-0,38;"Level";"Difference";1;1;0,04;1;0,56;0;48;0,83
7,4;5,4;0;"SP_SP500.t";"INSEE_PIBFR.Diff.t";14,23;-0,12;"Level";"Difference";1;1;0,48;1;0,68;0;4;0,8
7,4;5,1;0;"SP_SP500.t";"INSEE_PIBFR.Diff.lag_1";14,39;-0,17;"Level";"Difference";1;1;0,54;1;0,61;0;4;0,8
7,4;5;0;"RDB_Nominal.lag_12";"EUSA10_Curncy.Diff.t";618,08;-229,05;"Level";"Difference";1;1;0,36;1;0,26;0;49;0,83
7,4;4,9;0;"RDB_Nominal.lag_12";"EUSA5_Curncy.Diff.t";607,04;823,31;"Level";"Difference";1;1;0,43;0;0,15;0;51;0,83
7,4;4,6;0;"RDB_Nominal.lag_12";"Spread5Y3M.Diff.t";599,9;1957,81;"Level";"Difference";1;1;0,37;0;0,14;0;45;0,83
7,4;4,9;0;"RDB_Nominal.lag_12";"Spread10Y3M.Diff.t";613,62;138,88;"Level";"Difference";1;1;0,33;0;0,29;0;52;0,83
7,4;5,3;0,01;"SP_SP500.t";"Spread5Y6M.Diff.t";13,61;1773,65;"Level";"Difference";1;1;0,38;0;0,46;0;7;0,8
7,4;4,6;0;"RDB_Nominal.lag_12";"Spread5Y6M.Diff.t";601,52;1743,73;"Level";"Difference";1;1;0,37;0;0,23;0;49;0,83
7,4;5,1;0,01;"SP_SP500.t";"Spread10Y6M.Diff.t";13,7;1124,91;"Level";"Difference";1;1;0,28;0;0,64;0;5;0,8
7,4;4,9;0;"RDB_Nominal.lag_12";"Spread10Y6M.Diff.t";614,5;57,48;"Level";"Difference";1;1;0,33;1;0,36;0;51;0,83
7,4;5,3;0;"SP_SP500.t";"EUR006M_Index.Diff.t";13,87;1951,78;"Level";"Difference";1;1;0,21;0;0,04;0;3;0,8
7,4;6,8;0;"RDB_Nominal.lag_12";"Chomage.Diff.t";612,55;-359,1;"Level";"Difference";1;1;-0,31;1;0,28;0;54;0,83
7,4;6,7;0;"SP_SP500.t";"INSEE_ConfianceMenagesFR.Diff.t";13,79;-65,89;"Level";"Difference";1;1;-0,22;0;0,62;0;6;0,8
7,4;5,4;0;"SP_SP500.t";"INSEE_ConsommationFinaleMenagesFR.Diff.t";13,96;0,29;"Level";"Difference";1;1;-0,03;1;0,41;0;8;0,8
7,4;5,1;0;"SP_SP500.t";"INSEE_InvestEntreprisesNonFinancieresFR.Diff.t";14;-0,09;"Level";"Difference";1;1;0,41;0;0,63;0;4;0,8
