RMSE (en %);RMSE OOS (en %);Residuals Statio PValue;Predictor_1;Predictor_2;Coeff_1;Coeff_2;Transfo_1;Transfo_2;Priority_1;Priority_2;2-1;Is signif;Breusch-Pagan;Durbin Watson;Jarque Bera;R2;R2OOS
7,4;12,9;0,0;EUR003M_Index.t;RDB_Nominal.pct.t;-9548,44;2209,53;Level;Growth_rate;1;1,0;-0,81;1;0,05;0;59;0,8;-2137,4038608500214
5,5;5,0;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_12;Spread5Y3M.Diff.lag_3;1,82;-5634,26;Level;Difference;1;1,0;0,37;0;0,45;1;0;0,89;-2139,5150222917546
5,6;5,5;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;INSEE_ConfianceMenagesFR.Diff.lag_1;1,23;-10,1;Level;Difference;1;1,0;-0,25;0;0,6;0;0;0,88;-2151,5308483836466
5,7;5,5;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_1;Spread10Y3M.Diff.lag_12;1,23;487,09;Level;Difference;1;1,0;0,13;0;0,91;0;0;0,88;-2165,4868465189675
6,0;4,2;0,0;RDB_Nominal.lag_1;INSEE_ProductionIndustrielle_France.lag_1;443,27;83,79;Level;Level;1;1,0;0,83;0;0,97;0;7;0,87;-2172,8792307674416
6,1;5,6;0,0;INSEE_PIBFR.t;Spread5Y3M.Diff.lag_12;0,36;848,19;Level;Difference;1;1,0;0,13;0;0,6;0;6;0,86;-2178,568799346991
5,5;4,3;0,0;INSEE_ConsommationFinaleMenagesFR.lag_12;EURONEXT_CAC40.Diff.lag_3;0,81;-0,82;Level;Difference;1;1,0;0,01;1;0,72;2;2;0,89;-2191,2656468581445
5,7;4,8;0,0;EUROSTAT_GDPEuroArea.lag_1;PIB_Reel.pct.lag_12;0,06;380,37;Level;Growth_rate;1;1,0;0,6;0;0,78;1;4;0,88;-2201,3870596656634
5,6;4,1;0,0;EUROSTAT_GDPEuroArea.lag_12;Spread6M3M.Diff.lag_12;0,07;-11692,55;Level;Difference;1;1,0;0,22;1;1,0;0;8;0,89;-2204,33227924921
5,6;5,4;0,0;EUROSTAT_GDPEuroArea.t;Spread10Y6M.lag_12;0,06;541,6;Level;Level;1;1,0;-0,64;1;0,2;0;24;0,89;-2207,375132760103
5,6;4,4;0,0;INSEE_PIBFR.lag_12;INSEE_ProductionIndustrielle_France.pct.lag_1;0,48;195,1;Level;Growth_rate;1;1,0;0,37;0;0,73;2;5;0,89;-2228,081069104592
5,5;5,4;0,0;INSEE_InvestEntreprisesNonFinancieresFR.t;BBG_TauxOat10Y.Diff.lag_3;1,23;-1334,36;Level;Difference;1;1,0;0,21;0;0,62;0;0;0,89;-2234,2565947365456
6,0;7,4;0,0;INSEE_PIBFR.lag_3;SpreadOat10Y3M.Diff.lag_1;0,38;-63,21;Level;Difference;1;1,0;0,18;0;0,39;0;2;0,87;-2234,937524784557
5,8;6,5;0,0;INSEE_ConsommationFinaleMenagesFR.lag_3;RDB_Nominal.Diff.lag_3;0,67;399,45;Level;Difference;1;1,0;0,58;0;0,38;0;22;0,87;-2237,1605473313716
6,2;6,0;0,0;INSEE_InvestEntreprisesNonFinancieresFR.lag_12;INSEE_ProductionIndustrielle_France.pct.lag_12;1,68;15,64;Level;Growth_rate;1;1,0;0,45;0;0,81;0;0;0,85;-2237,1946596296684
5,4;4,6;0,0;EUROSTAT_GDPEuroArea.lag_3;SP_SP500.Diff.lag_12;0,06;2,74;Level;Difference;1;1,0;-0,02;0;0,75;0;19;0,89;-2250,5243255577625
5,9;4,4;0,0;PIB_Reel.lag_12;Spread5Y6M.Diff.lag_3;499,91;-3233,91;Level;Difference;1;1,0;0,3;0;0,84;2;0;0,87;-2252,863653451216
5,5;5,6;0,0;EUROSTAT_GDPEuroArea.lag_3;EUR006M_Index.lag_1;0,06;-634,86;Level;Level;1;1,0;-0,93;0;0,55;0;18;0,89;-2253,122274781741
5,8;4,8;0,0;RDB_Nominal.lag_3;Spread10Y6M.Diff.lag_12;483,16;895,59;Level;Difference;1;1,0;0,09;0;0,94;0;3;0,88;-2262,310075531586
5,7;4,4;0,0;INSEE_PIBFR.t;Spread6M3M.Diff.lag_3;0,37;39339,36;Level;Difference;1;1,0;-0,11;1;0,91;1;1;0,88;-2263,813514021855
