Date;pred_0;pred_1;pred_2;pred_3;pred_4;pred_5;pred_6;pred_7;pred_8;pred_9;pred_10;pred_11;pred_12;pred_13;pred_14;pred_15;pred_16;pred_17;pred_18;pred_19;pred_20;pred_21;pred_22;pred_23;pred_24;pred_25;pred_26;pred_27;pred_28;pred_29;pred_30;pred_31;pred_32;pred_33;pred_34;pred_35;pred_36;pred_37;pred_38;pred_39
31/07/2016;28585,95040950743;24771,110599999996;25332,39895;27518,821666666685;27449,71033333335;29331,62780833333;25779,759699999995;25731,939531999997;25648,191550000003;26957,5769414815;25969,9056;25338,95273063754;27602,28764;24999,28557613424;28042,49016;28376,896204999997;26127,271319999993;26308,764034045802;28946,149999999994;26301,416243352607;26632,761539748954;28033,689449999998;26907,769319999992;25753,79527999999;25511,17530000003;26402,246792499995;25939,664851538488;27747,612056000013;26480,738630000007;26683,474000000017;29769,56192;26923,302978723397;26374,849379790947;29798,0339345;25370,924660458986;26370,22;26857,13911000002;27518,953999999998;26218,512706499998;27228,699170000007
31/08/2016;28578,70945833872;26425,3718;25763,52029;27614,3125;27754,980366666656;29342,96557666667;26399,58080000001;26342,1426535;26292,046900000005;27326,338593457942;26952,719249999995;25644,590644444477;27248,63913;25586,450370603015;27845,71258666669;28657,954730000012;26302,64484;26872,51378988041;28911,949999999983;26868,052555020113;26593,803760683753;28420,51535333333;27166,452653333312;25906,285529999994;26088,816120000003;26736,882769999997;26286,381299320405;27555,035736499995;26949,541800000006;26817,984999999986;28583,85161;27162,04430107528;26312,631339598112;30118,790821;26077,11201251045;26316,169999999984;26972,419849999977;27175,522800000006;26143,70767650001;26975,199170000007
30/09/2016;28968,031627413216;26620,014000000003;26381,330025;28012,47083333334;27930,255500000014;29420,01513;26533,606199999995;26166,248853499997;26122,2112;27326,279359728505;27130,46304999999;25946,51154022717;28195,54195;26174,597857142857;28267,226583333322;28766,578569999998;26478,018359999995;27046,99978420735;28879,479999999996;27043,439068180567;26556,865292281003;28981,47352666667;27425,13598666666;25766,271754999994;26215,513775;27197,671159999998;26635,978606536315;27362,45941699999;27557,70702999999;27315,696999999986;29182,85971;27401,448085106415;26261,04082104424;30258,66678;26075,37341405198;26262,119999999995;27455,14275;26900,742400000017;26095,58993999999;26741,013980000003
31/10/2016;29193,436785803755;25864,1994;26455,899954999997;28137,782499999972;28087,647433333303;29729,38835166667;26390,295800000007;26526,818181;26553,182500000003;27326,231116822426;26463,779299999995;26247,307264490075;28434,82089;26232,690186528496;28727,216409999994;27465,664070000013;26532,895559999983;26536,963778526464;28831,439999999988;26530,773989417357;25958,690609137055;29323,362070000003;27580,62353333336;26591,370279999974;26244,715465000016;27516,022095833352;26892,708924193546;27299,95528000001;27868,045573333337;27494,709999999963;30780,37447;27348,82122448983;26200,8208094047;30168,18114;26070,10893409868;26257,990000000005;27645,259254999954;26789,992400000017;26507,729418000003;26671,329620000004
30/11/2016;29424,195847000057;26197,2594;26779,886085;28295,26083333335;28131,538566666684;30038,761573333322;26850,397200000007;26159,40177;26523,589300000003;27910,2677032653;27023,608100000012;26095,989858027664;28880,28083;26589,601012070005;28994,66223666664;27034,431930000006;26587,772760000007;26979,926474150998;29156,53;26976,005634426227;26990,36206936416;29261,952613333335;27527,640199999936;26591,370279999974;27351,86095500001;27843,509781666653;27153,092307972867;27004,36239000001;28021,854266666633;27673,723000000027;31396,20523;27302,162916666653;26399,50644772229;30586,10038;27186,163756226917;26494,976670500007;27835,375760000024;26673,10160000001;26448,940008000005;26601,645260000005
31/12/2016;29414,707447316083;27537,6038;27012,89764;28931,094166666662;29097,938299999994;30367,212410000007;26888,458;26994,27562;27251,508850000002;27910,184886534655;26612,190200000012;25946,950841011778;28077,48152;26993,47758381503;28743,81631333336;26893,508910000004;26642,649959999995;26657,79840612231;29472,969999999987;26652,205291376915;27557,6394347275;29251,097686666675;27474,656866666686;26687,577764999995;27190,309670000017;28102,14552999998;27413,16394957446;26764,824949999995;28245,343989999965;28426,76199999996;30178,481200000002;27252,223917525786;26593,255790977186;30696,019175;27187,031427843787;26731,963329499995;28599,282959999982;26543,898799999995;26612,325590999986;26562,006160000004
31/01/2017;28474,417798825252;27833,0945;27615,316512499998;29054,930000000037;29153,354266666705;30578,774306666674;27139,349600000016;27881,424285;27979,4284;27910,171750526308;26776,50265000001;25794,898592023826;29608,596575;27485,62354205607;29861,628224999993;25873,39043;26979,677699999993;26684,6423384214;29796,329999999987;26679,181921229057;28128,008574898784;29217,774080000003;27858,607756666664;27701,658277499955;27398,25396250002;28140,216130000015;27768,254885918403;26885,89754260001;28278,49622000003;28685,753000000055;31188,52127;28053,822916666657;26798,662339064365;31010,6037;27188,628927423008;26968,949999999997;28769,95622000005;26701,93933790001;26815,41346499999;26773,47283100002
28/02/2017;27737,309488791874;28298,723299999998;28206,090104999996;29204,349166666652;29302,831033333307;30781,857263333324;27432,783800000005;28630,214885;28702,429300000003;28558,87050181818;26762,83004999999;27005,93368876972;31139,711629999998;27990,212755102035;30590,308803333362;26297,34156999999;27063,190290000006;26671,315048543416;29989,710000000006;26665,69028801631;29331,469886792445;30371,875793333333;29169,314731666644;27701,658277499955;28809,512865000026;28261,822729999985;28125,280966107908;27006,970122400002;28307,60897;28884,977999999945;31992,522539999998;28852,783917525783;27646,605821136574;32169,0621;28421,77301517132;27833,069999999992;28945,48299999995;26841,4358621;27248,270999999993;26916,26460899999
31/03/2017;27384,666484934984;28417,8344;28705,816484999996;29785,965833333335;30013,27010000001;31006,13756999999;28404,165299999993;30514,017809999998;30176,5609;28558,988986666664;27172,11869999999;27307,919619747096;31105,65543;28632,147431438127;30575,698036666654;26431,87642999999;27146,70287999999;27073,9737881686;30186,54999999999;27070,419908818003;29317,510153846153;30775,553206666664;30041,41473166668;27843,474209999957;28720,965805000043;28502,85970500001;28480,93926303371;27375,196289999993;28691,186090000003;29602,839999999997;32539,28132;29653,057083333348;28500,051014901328;32632,38027;28418,399567759538;28647,26999999999;29640,55965000001;26863,70240000001;28631,616869999998;27153,484360000002
30/04/2017;27039,174225578867;29924,0851;30074,247587500002;29958,81250000003;29939,246233333353;31168,874543333324;28509,41780000001;30501,38062;30524,077750000004;28558,881990329668;26966,117;27610,544678344195;31656,429055;30176,232255186722;31062,332794999995;26487,43565249999;27393,591900000007;26738,42255335176;30383,39;26733,147524422442;29621,73860082304;31179,230620000002;30010,923569999984;29159,78383249999;28722,614287500037;28532,877086666645;28622,655968934705;28183,59405;28461,555446666665;29830,078000000038;32639,949425;29884,450105263182;29361,269628074384;32718,430775;28421,444533317816;29461,469999999987;29845,01230000003;27748,01800000001;29211,057322499997;28096,418305
31/05/2017;27678,30829119772;30539,372499999998;30657,072;30131,575833333365;30176,521566666706;31263,77999666668;28732,644100000005;30701,1477425;30612,816700000003;29414,10898454547;26912,810349999985;27913,30237109871;31820,57843;30836,578655660374;31221,88488666668;26899,328039999993;27448,790189999992;26885,987152388087;30520,749999999985;26881,54850547266;30015,292996845426;31403,158593333326;30594,734681666654;29159,78383249999;30327,874450000032;28865,05984333335;28763,996658070217;29066,647477499995;28736,859803333355;30042,374500000034;32819,56673;30119,90510638297;29668,529868118698;32898,68383;30049,688848135876;29755,869999999995;30058,168400000053;28681,17120000001;29472,244747499994;29010,380034999995
30/06/2017;27282,361775204463;31300,873;30977,374381999998;30808,969166666662;30871,54049999999;31384,122270000007;28792,0512;29779,3713475;29696,484400000005;29414,11926916409;27713,721449999983;27990,438439502235;32468,729032;31118,362755520502;31653,75356133336;27382,495380000008;27503,988479999993;27718,150996341457;30633,89;27718,008365409885;30181,252607966453;31492,843606666676;30846,90134833331;29106,467696000007;30417,740296000033;28880,066850000003;28905,004354495934;29968,55592;28781,91380000001;30860,226999999984;32662,373789999998;30345,991515151516;29980,36526813252;33038,365365;30050,382758801337;30100,189999999988;30865,14359999998;29774,973200000008;30110,077965000004;29979,06706
31/07/2017;27195,671844930563;29805,2677;30171,4680655;30975,761666666673;30977,031799999997;31621,935094166678;28791,720900000015;29643,193264999998;29757,296800000004;29414,000780000017;27655,046100000007;28064,47877543729;32474,660363;30165,931723404254;32347,985026999988;27530,777990000002;27723,351329999998;27838,948841419333;30766,059999999998;27839,435306976753;30846,544835164837;31641,508905000002;30486,663308333314;30900,80742549998;30467,147671500046;29463,268981666653;29530,621651083813;30154,058915;29473,987726666644;31037,097499999974;33507,313855;30277,97999999998;30293,749570747226;33111,93734;30048,713162174245;30694,11;31046,980424999987;30146,14480000001;30154,348964999997;30238,90000000001
31/08/2017;27170,95993457857;29658,3391;30075,343759000003;31127,30416666667;31230,18070000001;31853,38871333332;28810,15490000001;29549,722345;29530,5511;30318,401726666663;27900,088400000008;27988,801132444656;32815,921794;30008,62422125436;32621,535826000007;27988,52475000001;27777,819869999992;27906,08575644475;31001,12000000001;27906,887885275297;30862,245922330098;31638,890026666682;30695,730556666676;30900,80742550001;32221,546677000006;30068,66036333333;30156,28870126352;30437,404150000002;30133,745813333342;31213,967999999993;33618,50552;30208,040000000037;30794,880079748837;33545,57969;31772,58010453626;30975,513329499983;31229,809500000003;30503,081600000005;30315,33004799999;30580,28435999999
30/09/2017;26595,6012293798;29831,8616;30037,84782;31784,28416666668;31756,005500000014;32132,53637;29449,497749999995;31101,947220000002;30748,506400000006;30318,370280338975;27875,439699999988;27913,52618644861;32782,743;29959,932204057277;32763,9893;27778,539977499997;27832,28841;27932,929349585174;31237,90999999999;27933,863930041145;31541,796245810052;31762,657473333325;30619,513890000002;30933,107633000007;32227,858009999996;30509,590245;30781,254230996972;30922,039410000012;30608,69769;31997,363500000007;33542,451629999996;30138,76291666666;31305,122510246685;33405,121605;31772,580840957875;31406,67667049999;32012,146949999995;30681,63500000001;31277,653002749998;30907,719135000007
31/10/2017;26432,93068307034;30907,6407;31040,9869;31949,37916666665;32074,333966666658;32213,07303666667;29680,512700000007;31631,7961775;31583,2135;30318,404738571422;27644,44510000001;27837,610840969275;32061,76854;31285,885544930872;32748,11086;27293,762229999993;28273,67039999998;27449,736947440833;31472,969999999987;27448,184961545718;32331,220172043017;31695,441139999995;30597,53096500004;32934,43882999997;32007,432350000017;30642,941186666634;30977,12265452667;31382,85040489999;30796,042466666637;32323,727999999974;33891,505320000004;30732,85608247423;31809,457506726452;33674,03844;31773,456016820564;31787,92;32233,38229999997;31109,466262099988;31567,600760250003;31457,990734000006
