"RMSE (en %)";"RMSE OOS (en %)";"Residuals Statio PValue";"Predictor_1";"Predictor_2";"Coeff_1";"Coeff_2";"Transfo_1";"Transfo_2";"Priority_1";"Priority_2";"2-1";"Is signif";"Breusch-Pagan";"Durbin Watson";"Jarque Bera";"R2"
13,4;58,3;0,09;"EURONEXT_CAC40.t";"EUR003M_Index.lag_1";5,14;-1862,96;"Level";"Level";1;1;-0,18;0;0,09;0;26;0,52
13,4;9,4;0,08;"SP_SP500.lag_1";"Spread5Y3M.t";5,06;-928,92;"Level";"Level";1;1;0,25;0;0,26;0;12;0,53
13,4;13,2;0,05;"EURONEXT_CAC40.lag_1";"Spread5Y6M.lag_1";5,66;-2109,57;"Level";"Level";1;1;0,27;1;0,58;0;57;0,54
13,4;8,2;0,07;"SP_SP500.lag_1";"Spread5Y6M.lag_1";4,99;-649,9;"Level";"Level";1;1;0,16;0;0,59;0;11;0,52
13,4;12,7;0,04;"EURONEXT_CAC40.t";"Spread10Y3M.t";5,3;-1987,52;"Level";"Level";1;1;-0,01;1;0,99;0;51;0,53
13,4;9,2;0,08;"SP_SP500.t";"Spread10Y3M.t";4,86;-776,58;"Level";"Level";1;1;-0,15;0;0,76;0;9;0,52
13,4;8,8;0,08;"SP_SP500.lag_1";"Spread10Y3M.lag_1";4,89;-641,81;"Level";"Level";1;1;-0,17;0;0,62;0;10;0,53
13,4;9,9;0,04;"EURONEXT_CAC40.t";"Spread10Y6M.lag_1";5,21;-2157,36;"Level";"Level";1;1;-0,09;1;1;0;48;0,53
13,4;7,9;0,08;"SP_SP500.t";"Spread10Y6M.lag_1";4,83;-778,29;"Level";"Level";1;1;-0,24;0;0,86;0;9;0,52
13,4;7,1;0,06;"SP_SP500.lag_1";"EUROSTAT_GDPEuroArea.Diff.t";4,99;-0,01;"Level";"Difference";1;1;0,1;1;0,82;0;10;0,53
13,4;8,7;0,06;"SP_SP500.lag_1";"STOXX_EUROSTOXX50.Diff.t";4,95;-1,44;"Level";"Difference";1;1;0,01;0;0,68;0;12;0,53
13,4;8,6;0,06;"EURONEXT_CAC40.t";"EURONEXT_CAC40.Diff.t";5,71;-3,08;"Level";"Difference";1;1;0,26;1;0,75;0;17;0,55
13,4;8,4;0,08;"SP_SP500.t";"EURONEXT_CAC40.Diff.t";5,03;-1,65;"Level";"Difference";1;1;0,14;1;0,79;0;10;0,53
13,4;8,6;0,06;"SP_SP500.lag_1";"EURONEXT_CAC40.Diff.t";4,99;-1,02;"Level";"Difference";1;1;0,09;0;0,7;0;12;0,53
13,4;7,1;0,06;"SP_SP500.lag_1";"INSEE_PIBFR.Diff.t";5;-0,03;"Level";"Difference";1;1;0,1;1;0,84;0;11;0,53
13,4;6,8;0,06;"SP_SP500.t";"INSEE_ConsommationFinaleMenagesFR.Diff.t";4,98;-0,07;"Level";"Difference";1;1;0,08;1;1;0;7;0,53
13,4;7;0,06;"SP_SP500.lag_1";"INSEE_ConsommationFinaleMenagesFR.Diff.t";5,01;-0,07;"Level";"Difference";1;1;0,09;1;0,88;0;9;0,53
13,4;8,9;0,02;"SP_SP500.lag_3";"INSEE_ConsommationFinaleMenagesFR.Diff.t";5;-0,06;"Level";"Difference";1;1;0,06;1;0,92;0;8;0,53
13,4;7,5;0,07;"SP_SP500.lag_3";"EUSA5_Curncy.Diff.t";5,4;-2025,48;"Level";"Difference";1;1;0,58;0;0,06;0;15;0,53
13,4;7,2;0,06;"SP_SP500.t";"Chomage.Diff.t";4,86;-2127,74;"Level";"Difference";1;1;-0,08;1;0,41;0;11;0,53
13,4;8,4;0,06;"SP_SP500.lag_3";"Chomage.Diff.t";4,9;-1936,7;"Level";"Difference";1;1;-0,1;1;0,68;0;10;0,54
13,4;5,9;0,07;"SP_SP500.t";"RDB_Nominal.Diff.lag_1";4,53;223,91;"Level";"Difference";1;1;0,48;0;0,99;0;10;0,53
13,4;6,3;0,06;"SP_SP500.lag_1";"RDB_Nominal.Diff.lag_1";4,58;201,46;"Level";"Difference";1;1;0,49;0;0,85;0;12;0,53
13,4;8,3;0,06;"SP_SP500.lag_3";"RDB_Nominal.Diff.lag_1";4,57;224,28;"Level";"Difference";1;1;0,47;0;0,87;0;9;0,54
13,4;8,6;0,08;"SP_SP500.t";"SP_SP500.Diff.t";5,02;-3,24;"Level";"Difference";1;1;0,12;0;0,82;0;9;0,53
13,4;8,6;0,08;"SP_SP500.lag_3";"SP_SP500.Diff.t";5,02;1,78;"Level";"Difference";1;1;-0,12;0;0,82;0;9;0,53
13,4;7,1;0,07;"SP_SP500.lag_1";"PIB_Reel.Diff.t";4,99;-22,24;"Level";"Difference";1;1;0,08;1;0,83;0;11;0,53
13,4;6,3;0,04;"SP_SP500.lag_1";"Spread5Y3M.Diff.t";5,19;-2964,83;"Level";"Difference";1;1;0,27;0;0,44;0;18;0,54
13,4;6,6;0,01;"SP_SP500.lag_3";"Spread5Y3M.Diff.t";5,26;-3339,17;"Level";"Difference";1;1;0,29;0;0,43;0;14;0,55
13,4;7;0,04;"SP_SP500.lag_1";"Spread5Y6M.Diff.t";5,14;-3163,34;"Level";"Difference";1;1;0,21;0;0,41;0;17;0,54
13,4;13,5;0,05;"SP_SP500.lag_3";"Spread6M3M.Diff.t";5,21;-8839,4;"Level";"Difference";1;1;0,37;1;0,12;0;14;0,53
13,4;7;0,06;"SP_SP500.lag_1";"EUROSTAT_GDPEuroArea.pct.t";5,03;-96,2;"Level";"Growth_rate";1;1;0,21;0;0,63;0;8;0,53
13,4;8,5;0,06;"SP_SP500.lag_3";"EUROSTAT_GDPEuroArea.pct.t";5,09;-128,47;"Level";"Growth_rate";1;1;0,23;0;0,63;0;7;0,53
13,4;6,9;0,06;"SP_SP500.lag_1";"INSEE_PIBFR.pct.t";5,07;-96,8;"Level";"Growth_rate";1;1;0,24;0;0,59;0;9;0,53
13,4;8,7;0,05;"SP_SP500.lag_3";"INSEE_PIBFR.pct.t";5,08;-91,03;"Level";"Growth_rate";1;1;0,24;0;0,59;0;8;0,53
13,4;6,8;0,05;"SP_SP500.lag_1";"INSEE_ConsommationFinaleMenagesFR.pct.t";5,06;-124,21;"Level";"Growth_rate";1;1;0,21;0;0,77;0;10;0,53
13,4;8,3;0,01;"SP_SP500.lag_3";"INSEE_ConsommationFinaleMenagesFR.pct.t";5,1;-140,08;"Level";"Growth_rate";1;1;0,23;0;0,79;0;8;0,53
13,4;7;0,06;"SP_SP500.lag_1";"INSEE_PIBFR.pct.lag_1";5,04;-78,94;"Level";"Growth_rate";1;1;0,23;0;0,24;0;8;0,53
13,4;8,6;0,06;"SP_SP500.lag_3";"INSEE_PIBFR.pct.lag_1";5,09;-97,11;"Level";"Growth_rate";1;1;0,25;0;0,29;0;6;0,53
13,4;6,9;0,06;"SP_SP500.lag_1";"INSEE_ConsommationFinaleMenagesFR.pct.lag_1";5,02;-86,57;"Level";"Growth_rate";1;1;0,2;0;0,46;0;8;0,53
13,4;8,2;0,06;"SP_SP500.lag_3";"INSEE_ConsommationFinaleMenagesFR.pct.lag_1";5,1;-134,38;"Level";"Growth_rate";1;1;0,24;0;0,55;0;6;0,53
13,4;5,7;0;"EURONEXT_CAC40.t";"PIB_Reel.pct.lag_1";5,92;-257,38;"Level";"Growth_rate";1;1;0,39;1;0,69;0;34;0,54
13,4;7,1;0,06;"SP_SP500.lag_1";"PIB_Reel.pct.lag_1";5,02;-63,33;"Level";"Growth_rate";1;1;0,21;0;0,58;0;10;0,53
13,4;7,4;0,06;"SP_SP500.lag_1";"EUSA10_Curncy.pct.t";5,02;-0,1;"Level";"Growth_rate";1;1;0,15;1;0,57;0;13;0,53
13,4;9,7;0,03;"SP_SP500.lag_3";"EUSA10_Curncy.pct.t";5,05;-0,1;"Level";"Growth_rate";1;1;0,16;0;0,75;0;10;0,53
13,4;15,3;0,05;"SP_SP500.lag_3";"EUSA5_Curncy.pct.t";4,88;-0,03;"Level";"Growth_rate";1;1;-0,1;0;0,65;0;11;0,54
13,4;5,5;0,06;"SP_SP500.t";"BBG_TauxOat10Y.pct.lag_1";4,9;0,3;"Level";"Growth_rate";1;1;0,04;1;0,78;0;12;0,53
13,4;12,8;0,05;"SP_SP500.lag_1";"BBG_TauxOat10Y.pct.lag_1";4,92;0,29;"Level";"Growth_rate";1;1;0,04;1;0,84;0;14;0,54
13,4;5,9;0,04;"SP_SP500.t";"INSEE_ConfianceMenagesFR.pct.lag_1";4,59;-104,6;"Level";"Growth_rate";1;1;-0,34;1;0,51;0;6;0,54
13,4;8,5;0,04;"EURONEXT_CAC40.lag_1";"INSEE_InvestEntreprisesNonFinancieresFR.pct.lag_1";6,13;-158,48;"Level";"Growth_rate";1;1;0,51;1;0,75;0;57;0,55
13,4;17,9;0,05;"SP_SP500.t";"CPI_Excl_Tabac.pct.lag_1";4,2;680,4;"Level";"Growth_rate";1;1;0,59;0;0,84;0;10;0,54
13,4;20,6;0,04;"SP_SP500.t";"CPI_Excl_Tabac.pct.lag_3";4,21;859,4;"Level";"Growth_rate";1;1;0,51;1;0,5;0;12;0,55
13,4;20;0,04;"SP_SP500.lag_1";"CPI_Excl_Tabac.pct.lag_3";4,27;762,34;"Level";"Growth_rate";1;1;0,54;1;0,73;0;15;0,55
13,4;13,4;0,06;"SP_SP500.lag_1";"BBG_TauxOat10Y.pct.t";4,93;0,21;"Level";"Growth_rate";1;1;0,03;1;0,74;0;11;0,53
13,4;20,5;0,06;"SP_SP500.lag_3";"BBG_TauxOat10Y.pct.t";4,95;0,2;"Level";"Growth_rate";1;1;0,03;1;0,86;0;8;0,53
13,4;5,6;0,02;"EURONEXT_CAC40.t";"PIB_Reel.pct.t";5,89;-258,1;"Level";"Growth_rate";1;1;0,38;1;0,7;0;34;0,54
13,4;7;0,06;"SP_SP500.lag_1";"PIB_Reel.pct.t";5,06;-91,02;"Level";"Growth_rate";1;1;0,22;0;0,75;0;11;0,53
13,4;7,3;0,07;"SP_SP500.lag_1";"EUR003M_Index.pct.t";4,97;0,29;"Level";"Growth_rate";1;1;-0,14;0;0,35;0;11;0,52
13,4;9;0,07;"SP_SP500.lag_3";"EUR003M_Index.pct.t";5,01;0,46;"Level";"Growth_rate";1;1;-0,16;0;0,34;0;9;0,53
13,4;7,3;0,09;"SP_SP500.t";"Spread5Y3M.pct.t";5,18;-2,3;"Level";"Growth_rate";1;1;0,38;1;0,01;0;14;0,52
13,4;6,6;0,01;"SP_SP500.t";"SpreadOat10Y3M.pct.t";5,31;-4,49;"Level";"Growth_rate";1;1;0,35;1;0,88;0;14;0,54
